address,area,price
裕兴花园-SM附近,湖里,2300
厦禾裕景-厦禾路,思明,55000
裕兴花园-SM附近,湖里,2000
明发商城-金鸡亭,思明,3000
明发商城-莲前西路,思明,3000
山木清华-莲前,思明,6000
岭兜小区北区-前埔南区,思明,3600
岭兜一里-软件园,思明,3800
海峡国际社区-观音山,思明,8000
海峡国际社区-观音山,思明,4500
明发城-软件园,思明,2200
明发海景苑-会展路,思明,8500
水晶国际-观音山,思明,3000
岭兜佳园-软件园,思明,1700
海艺大厦-前埔北区,思明,2200
明发国际新城-会展路,思明,5500
香山碧海晴空-软件园,思明,2500
明发国际新城-会展路,思明,5500
明发园-软件园,思明,1800
世茂湖滨首府-软件园,思明,3000
海艺大厦-软件园,思明,2100
何厝小区-会展路,思明,4000
卧龙晓城-莲前西路,思明,4400
家家海景-前埔北区,思明,4000
海艺大厦-软件园,思明,2000
新景花园-软件园,思明,2500
岭兜二里-前埔北区,思明,3300
宝华花园思明-湖滨北路,思明,4000
宝达大厦-嘉禾路,思明,3600
宏益大厦-松柏,思明,5500
宝龙中心一期-嘉禾路,思明,6500
嘉滨里-松柏,思明,2300
卧龙晓城-莲前西路,思明,4000
金鸡亭花园小区-金鸡亭,思明,3300
明丰财富中心-前埔南区,思明,3400
岭兜二里-软件园,思明,3700
岭兜佳园小区-前埔南区,思明,3500
香山海景苑-前埔南区,思明,2300
龙山山庄-莲前西路,思明,3500
富宇大厦-火车站,思明,5800
屿后南里423-449号小区-松柏,思明,3400
信和上筑-嘉禾路,思明,4700
锦绣广场-松柏,思明,5999
岭兜二里-软件园,思明,3300
碧海晴空-软件园,思明,2000
新景花园-软件园,思明,4500
龙山山庄-莲前西路,思明,3800
明发园-前埔北区,思明,2200
自然家园二期-火车站,思明,5600
何厝小区-会展路,思明,4000
山木清华-莲前,思明,5500
龙山山庄-莲前西路,思明,3500
岭兜小区北区-前埔南区,思明,3200
清河花园-莲前,思明,3000
云顶山庄花园-莲前,思明,5000
金磊花园-金鸡亭,思明,4000
侨福城一期-莲前东路,思明,3500
侨福城3期-莲前,思明,1700
侨福城小区-莲前东路,思明,3500
侨福城小区-莲前东路,思明,3500
侨福城三期-瑞景,思明,4300
莲坂西小区-富山,思明,2800
莲坂西小区-富山,思明,3400
嘉华大厦-长青路,思明,2300
华天花园-嘉禾路,思明,2500
江头长青K小区-松柏,思明,3000
江头长青K小区-松柏,思明,3000
卧龙晓城-莲前西路,思明,4500
山木清华-莲前,思明,6000
山木清华-莲前,思明,6000
山木清华-莲前,思明,6000
龙昌里居住区-莲花五村,思明,3300
湖滨四里-湖滨南路,思明,3500
厦汽宿舍-富山,思明,3600
信和上筑-嘉禾路,思明,6200
嘉华大厦-长青路,思明,5000
莲前西路水务宿舍-富山,思明,2900
舒心阳光公寓-软件园,思明,1500
舒心阳光公寓-前埔南区,思明,1950
舒心阳光公寓-观音山,思明,1500
舒心阳光公寓-莲前东路,思明,1650
舒心阳光公寓-前埔北区,思明,1600
舒心阳光公寓-会展路,思明,1550
中山路民宅-思明南路,思明,1300
中山路-中山路,思明,1500
前埔北区农贸市场-莲前西路,思明,2600
世贸湖滨首府b区-软件园,思明,7000
故宫路-大同路,思明,1700
中山公园附近-公园附近,思明,1200
尚青春公寓-火车站,思明,1000
尚青春国际公寓-东浦路,思明,1400
特贸宿舍-湖滨东路,思明,2600
湖滨三里-湖滨东路,思明,2600
森景华庭-火车站,思明,1800
森景华庭-火车站,思明,1650
建发花园三期-东浦路,思明,3800
东坪花园二期-东浦路,思明,4200
东坪花园二期-东浦路,思明,4200
莲富大厦-富山,思明,4500
明丰财富中心-前埔南区,思明,3800
明丰财富中心-前埔南区,思明,1800
明发园-前埔北区,思明,2700
明丰财富中心-前埔南区,思明,1500
明丰财富中心-前埔南区,思明,2500
山木清华-莲前,思明,4800
龙山山庄-莲前西路,思明,3500
云顶山庄花园-莲前,思明,3000
源昌君悦山-莲前西路,思明,6800
岭兜佳园-软件园,思明,3800
家家海景-软件园,思明,5500
家家海景-软件园,思明,5500
卧龙晓城二期-莲前,思明,2800
武汉大厦-莲花一村,思明,6500
阳光花园-松柏,思明,4200
信和上筑-嘉禾路,思明,5500
水岸oY-育秀路,思明,6500
宝华花园思明-湖滨北路,思明,3200
岭兜小区-前埔北区,思明,4000
明丰财富中心-前埔南区,思明,3000
岭兜佳园小区-前埔南区,思明,3600
岭兜小区-前埔北区,思明,3100
南湖明珠-湖滨东路,思明,15000
龙山二期安置房-莲花五村,思明,2700
卧龙晓城-莲前西路,思明,3800
繁荣广场二期-白鹭洲路,思明,4500
嘉盛豪园-瑞景,思明,1300
嘉盛豪园-瑞景,思明,1600
嘉盛豪园-瑞景,思明,1000
嘉盛豪园-瑞景,思明,1850
嘉盛豪园-瑞景,思明,4200
明丰财富中心-前埔南区,思明,2000
岭兜小区北区-前埔南区,思明,3100
源昌君悦山-莲前西路,思明,2400
锦绣广场-松柏,思明,3500
汇腾大厦-松柏,思明,5500
东方明珠广场-莲花一村,思明,17999
锦绣广场-松柏,思明,5999
信和上筑-嘉禾路,思明,5000
源昌君悦山-莲前,思明,8000
自然家园-火车站,思明,4800
卧龙晓城-莲前西路,思明,8000
盘龙路安置房单间房屋出租-火车站,思明,1400
莲坂西小区-长青路,思明,3300
嘉华大厦-长青路,思明,4300
莲坂西小区-长青路,思明,3200
莲坂西小区-长青路,思明,3200
华天花园二期-富山,思明,3500
岭兜小区-前埔北区,思明,3300
明发园-前埔北区,思明,3800
岭兜小区-软件园,思明,3500
海艺大厦-软件园,思明,1900
莲前西路水务宿舍-富山,思明,2600
山木清华-莲前西路,思明,4000
自然家园-火车站,思明,4950
源昌新天地-白鹭洲路,思明,13500
明发园-前埔北区,思明,1800
瑞景嘉盛豪园旁明发楼（地铁二号线）-瑞景,思明,1900
东浦路112-120号小区-东浦路,思明,3300
岭兜佳园小区-前埔南区,思明,3300
岭兜小区中区-前埔南区,思明,4000
明丰财富中心-前埔南区,思明,2500
岭兜佳园-前埔北区,思明,4400
卧龙晓城-莲前,思明,8000
毅宏大厦-莲前西路,思明,4000
岭兜小区北区-前埔南区,思明,3800
自然家园-火车站,思明,4200
山木清华-莲前,思明,5200
龙山山庄-莲前西路,思明,3800
湖边御景-软件园,思明,2900
龙山山庄-莲前西路,思明,3600
卧龙晓城-莲前,思明,4500
福满山庄-瑞景,思明,3780
福满山庄-瑞景,思明,3380
福满山庄-瑞景,思明,3780
福满山庄-瑞景,思明,3380
前埔北区二里-前埔北区,思明,3600
联发滨海名居-会展路,思明,11000
海峡国际社区二期-会展路,思明,6500
海峡国际社区二期-会展路,思明,4500
海峡国际社区二期-会展路,思明,6200
新景花园-软件园,思明,2500
何厝小区-会展路,思明,4000
彩霞公寓-湖滨南路,思明,5800
彩霞公寓-湖滨南路,思明,5800
林海阳光-东浦路,思明,4500
禹洲花园-莲前西路,思明,3500
卧龙晓城-莲前,思明,4500
龙山山庄-莲前西路,思明,3800
岭兜小区-软件园,思明,3800
岭兜小区-软件园,思明,3300
岭兜佳园-软件园,思明,1700
阳光花园-松柏,思明,4200
牡丹园-松柏,思明,6500
水岸oY-育秀路,思明,6500
莲坂西小区-富山,思明,3400
莲坂西小区-富山,思明,3900
宝龙中心一期-松柏,思明,3900
龙山居-槟榔东里,思明,2700
岭兜小区-前埔北区,思明,3100
岭兜小区-前埔北区,思明,3300
新景花园-软件园,思明,4000
碧海晴空-软件园,思明,1600
湖滨三里-湖滨东路,思明,3300
源昌君悦山-莲前西路,思明,2500
武汉大厦-莲花一村,思明,6500
阳光花园-松柏,思明,4200
信和上筑-嘉禾路,思明,5500
水岸oY-育秀路,思明,6500
宝华花园思明-湖滨北路,思明,3200
金鸡亭花园小区-金鸡亭,思明,4600
英皇湖畔花苑-松柏,思明,4600
怡祥花园-松柏,思明,3200
莲坂西小区-富山,思明,3400
宝华花园思明-湖滨北路,思明,3200
宝华花园思明-湖滨北路,思明,3200
官邸大厦-火车站,思明,2700
山木清华-莲前,思明,3950
华孚花园-莲花五村,思明,3180
莲坂西小区-富山,思明,3400
信和上筑-嘉禾路,思明,4700
富宇大厦-火车站,思明,4700
宏益大厦-松柏,思明,5600
东方明珠广场-莲花一村,思明,6800
森景华庭-东浦路,思明,980
苏公馆-观音山,思明,1800
苏公馆-瑞景,思明,1800
苏公馆-软件园,思明,1800
伴山公寓-东浦路,思明,1050
苏公馆-瑞景,思明,2500
莲坂西小区-松柏,思明,3300
怡祥花园-松柏,思明,3200
嘉华大厦-长青路,思明,2500
伴山公寓-东浦路,思明,850
光明大厦-斗西路,思明,4800
源盛花园-松柏,思明,3300
豆仔尾-禾祥西路,思明,3300
公园小学对面，粮食局宿舍-禾祥西路,思明,2500
美仁新村-禾祥西路,思明,3500
美仁新村南区-禾祥西路,思明,3500
冠成大厦-禾祥西路,思明,1600
永康大厦-禾祥西路,思明,3500
卧龙晓城-槟榔东里,思明,4400
卧龙晓城-莲前西路,思明,6000
侨福城3期-瑞景,思明,4400
福满山庄-瑞景,思明,1600
侨福城一期-瑞景,思明,3500
侨福城3期-瑞景,思明,4300
明丰财富中心-软件园,思明,3400
岭兜二里-软件园,思明,3000
岭兜佳园小区-软件园,思明,3500
舒心阳光公寓-莲前东路,思明,2500
舒心阳光公寓-瑞景,思明,1400
舒心阳光公寓-莲前东路,思明,1600
舒心阳光-瑞景,思明,1950
舒心阳光公寓-前埔北区,思明,1500
中山晶品公寓-中山路,思明,1500
中山晶品公寓-鹭江道,思明,1200
岭兜小区-前埔北区,思明,4500
明发园-前埔北区,思明,4000
卧龙晓城-莲前,思明,6000
假日双星-文灶,思明,4500
龙山山庄-莲前西路,思明,3600
山木清华-莲前,思明,4200
明发园-前埔北区,思明,2000
岭兜佳园小区-前埔南区,思明,3500
海峡国际社区四期-会展路,思明,13500
禹洲花园三期-莲花五村,思明,3300
新景花园-软件园,思明,4500
海艺大厦-软件园,思明,2300
新景花园-软件园,思明,4000
碧海晴空-软件园,思明,2200
新港龙花园-莲岳路,思明,3000
嘉华大厦-长青路,思明,2600
新港龙花园-莲岳路,思明,3000
嘉华大厦-长青路,思明,2600
宝龙中心二期-富山,思明,3500
东方明珠广场-莲花一村,思明,3500
电业花园-富山,思明,3500
英皇湖畔花苑-松柏,思明,3500
山木清华-莲前西路,思明,4000
岭兜小区北区-前埔南区,思明,3800
金沙花园-莲前,思明,4200
东浦路48号小区-东浦路,思明,3499
金枫园-东浦路,思明,5200
时尚国际-火车站,思明,3500
时尚国际-火车站,思明,2800
金林花园-金鸡亭,思明,4200
岭兜小区北区-前埔南区,思明,3800
源昌新天地-湖滨东路,思明,2000
新景花园-软件园,思明,4300
海峡国际社区-会展路,思明,8800
海峡国际社区-会展路,思明,9500
海峡国际社区-会展路,思明,4600
海峡国际社区-会展路,思明,4600
海峡国际社区-会展路,思明,8500
鑫塔水尚-观音山,思明,10000
海峡国际社区-会展路,思明,9500
海峡国际社区-会展路,思明,7000
海峡国际社区-会展路,思明,7500
鑫塔水尚-观音山,思明,10000
华居.泊客湾-软件园,思明,2200
海峡国际社区-观音山,思明,9000
海峡国际社区-观音山,思明,7200
瑞景嘉盛豪园旁明发楼（地铁二号线）-瑞景,思明,1900
明发园-软件园,思明,4000
明发园-软件园,思明,1950
时代中心-观音山,思明,3000
明发园-软件园,思明,2200
大洲国际龙郡-软件园,思明,1800
岭兜小区-软件园,思明,3100
明丰财富中心-软件园,思明,2800
源昌新天地-湖滨东路,思明,7900
罗宾森-火车站,思明,1500
皓晖花园-湖滨东路,思明,3000
源昌新天地-火车站,思明,2000
源昌新天地-火车站,思明,2000
源昌新天地-湖滨南路,思明,2000
宝华花园思明-湖滨北路,思明,6000
长青路小区-长青路,思明,4500
长青路小区-长青路,思明,4500
侨旺大厦-嘉禾路,思明,4500
信和上筑-嘉禾路,思明,5000
何厝小区-会展路,思明,2000
岭兜一里-软件园,思明,3650
岭兜一里-软件园,思明,4600
新景花园-软件园,思明,3800
莲前水务宿舍-莲前西路,思明,2500
莲坂西小区-富山,思明,3400
莲坂小区-槟榔东里,思明,3100
莲坂西小区-富山,思明,2800
山木清华-莲前西路,思明,3800
鸿山公园-思明南路,思明,1999
何厝小区-会展路,思明,3000
嘉盛豪园-瑞景,思明,1700
嘉盛豪园-瑞景,思明,1400
明丰财富中心-前埔南区,思明,1700
明丰财富中心-前埔南区,思明,2000
明丰财富中心-前埔南区,思明,3300
东芳山庄小区-瑞景,思明,750
东芳山庄小区-莲前东路,思明,750
华林东盛花园二期-前埔北区,思明,4400
香山海景苑-软件园,思明,2300
明丰财富中心-软件园,思明,1900
岭兜小区-软件园,思明,3100
岭兜佳园小区-软件园,思明,3300
岭兜佳园小区-软件园,思明,1800
山木清华-莲前,思明,4900
莲坂小区-长青路,思明,2800
英皇湖畔花苑-松柏,思明,4000
明发园-前埔北区,思明,2300
汇腾大厦-松柏,思明,6800
宝龙中心一期-松柏,思明,5500
长青路250-253号小区-长青路,思明,4400
英皇湖畔花苑-松柏,思明,5500
嘉华大厦-长青路,思明,2300
锦绣广场-松柏,思明,6000
岭兜佳园小区-前埔南区,思明,2650
火车站禹州世贸-火车站,思明,4300
岭兜佳园小区-前埔南区,思明,2600
枫丹雅苑-禾祥东路,思明,6800
宝华花园思明-湖滨北路,思明,6300
心悦园-松柏,思明,3800
宝华花园思明-湖滨北路,思明,3200
宝龙中心二期-富山,思明,4600
长青北里小区-松柏,思明,3400
新景花园-软件园,思明,3300
明发城-前埔北区,思明,4800
新景花园-软件园,思明,3800
岭兜佳园-软件园,思明,3200
福满山庄-瑞景,思明,4200
侨福城二期-莲前东路,思明,3700
鸿禧花园-莲花五村,思明,1600
卧龙晓城-莲前西路,思明,3800
山木清华-莲前,思明,4500
广顺花园-莲前,思明,3200
通士达小区-槟榔东里,思明,3500
湖滨三里-湖滨东路,思明,3000
岭兜佳园-前埔北区,思明,2800
大洲国际龙郡-前埔北区,思明,3400
家家海景-前埔北区,思明,1900
岭兜佳园小区-前埔南区,思明,5500
明丰财富中心-前埔南区,思明,1700
永升花园-松柏,思明,6500
牡丹园-松柏,思明,6500
宝华花园-湖滨北路,思明,3000
宝龙中心-嘉禾路,思明,4800
阳光花园-长青路,思明,5100
华星大厦-火车站,思明,4500
明发园-前埔北区,思明,1500
岭兜一里-软件园,思明,4200
华天花园-嘉禾路,思明,5200
利海苑-莲花一村,思明,4300
住总佳苑-育秀路,思明,4000
永升花园-松柏,思明,6800
信和上筑-嘉禾路,思明,5300
橡胶新村-文园路,思明,3300
禹洲世贸国际-火车站,思明,4000
禾祥首府（思明苑二期）-禾祥西路,思明,3566
厦门思明区九龙城-厦禾路,思明,1600
厦门思明区九龙城-厦禾路,思明,1600
一代风华-松柏,思明,1900
九龙城-厦禾路,思明,2600
卧龙晓城-莲前西路,思明,2750
金鸡亭花园小区-金鸡亭,思明,3500
岭兜佳园小区-软件园,思明,5500
明丰财富中心-软件园,思明,1800
明丰财富中心-软件园,思明,3800
明丰财富中心-软件园,思明,1700
明丰财富中心-软件园,思明,1800
岭兜小区北区-前埔南区,思明,3800
金榜铁路家园-火车站,思明,5300
何厝小区-会展路,思明,3000
高林居住区北区-观音山,思明,3800
海艺大厦-软件园,思明,2100
明丰财富中心-前埔南区,思明,1800
岭兜佳园-前埔北区,思明,1300
明发园-前埔北区,思明,2500
明丰财富中心-前埔南区,思明,5300
一代风华-松柏,思明,1900
太平洋广场北楼-嘉禾路,思明,2000
湖滨三里-湖滨东路,思明,2300
新景花园-软件园,思明,4500
碧海晴空-软件园,思明,2000
岭兜一里-软件园,思明,3500
岭兜佳园-前埔北区,思明,2500
禹洲花园三期-莲花五村,思明,3200
嘉盛豪园-瑞景,思明,1300
嘉盛豪园-瑞景,思明,1300
海峡国际社区二期-会展路,思明,7000
海峡国际社区四期-会展路,思明,7800
海峡国际社区二期-会展路,思明,11000
清河公寓-莲前西路,思明,2800
自然家园-火车站,思明,1350
鑫塔水尚-观音山,思明,9500
鑫塔水尚-观音山,思明,12000
嘉华大厦-长青路,思明,2500
嘉华大厦-长青路,思明,2300
江头长青K小区-松柏,思明,3000
武汉大厦-莲花一村,思明,3500
宝华花园思明-湖滨北路,思明,2600
怡祥大厦-松柏,思明,6000
富宇大厦-火车站,思明,4700
嘉华大厦-长青路,思明,2300
云顶山庄花园-莲前,思明,5000
阳光花园-松柏,思明,4200
莲岳里小区-白城,思明,4500
嘉华大厦-长青路,思明,2800
侨旺大厦-嘉禾路,思明,4500
岭兜一里-软件园,思明,4200
假日花园-火车站,思明,4500
禹洲世贸国际-火车站,思明,4000
禹洲世贸国际-火车站,思明,3500
富宇大厦-火车站,思明,4700
锦绣广场-松柏,思明,6200
永升华庭-松柏,思明,9900
宝华花园思明-湖滨北路,思明,3500
宝华花园思明-湖滨北路,思明,3500
莲前西路水务宿舍-富山,思明,2900
侨建小区-金鸡亭,思明,3600
自然家园二期-火车站,思明,1600
海峡国际社区一期-会展路,思明,12000
万科金域蓝湾二期-瑞景,思明,9000
海峡国际社区二期-会展路,思明,6800
海峡国际社区二期-会展路,思明,11500
海峡国际社区二期-会展路,思明,4600
湖滨三里-湖滨南路,思明,4300
龙山二期安置房-莲花五村,思明,3800
金祥大厦-禾祥东路,思明,4500
岭兜佳园小区-软件园,思明,3300
岭兜佳园小区-软件园,思明,2700
岭兜佳园小区-软件园,思明,2800
明丰财富中心-软件园,思明,1700
岭兜佳园小区-软件园,思明,2450
岭兜小区-前埔北区,思明,4000
岭兜佳园-前埔北区,思明,2700
海艺大厦-软件园,思明,2000
岭兜二里-前埔北区,思明,3000
潘宅南小区-瑞景,思明,4500
潘宅南小区-瑞景,思明,5000
洪山柄南区-瑞景,思明,2900
嘉盛豪园一期-瑞景,思明,3000
嘉盛豪园一期-瑞景,思明,1400
思明湖滨东路金领广场-湖滨东路,思明,5400
大洲城市花园-湖滨东路,思明,2500
金辉园-湖滨南路,思明,3700
假日花园-厦禾路,思明,3000
百源双玺-厦禾路,思明,6500
禹洲世贸国际-火车站,思明,4300
源昌商业中心-火车站,思明,2800
金榜小区-金榜路,思明,1650
禹洲世贸国际-火车站,思明,3500
官邸大厦-火车站,思明,4000
城市花园-文灶,思明,6500
东坪花园-东浦路,思明,4000
惠景新村-东浦路,思明,3200
禹洲世贸国际-火车站,思明,3200
富城花园-湖滨东路,思明,1200
罗宾森广场二期-火车站,思明,3800
禹洲世贸国际-火车站,思明,4500
裕康花园-双涵路,思明,900
鸿运大厦-火车站,思明,1900
银龙广场-文灶,思明,3200
源昌广场-火车站,思明,1800
厦门思明区九龙城-文灶,思明,1600
官邸大厦-火车站,思明,1000
源昌广场-火车站,思明,1100
惠景新村-东浦路,思明,3000
惠景新村-火车站,思明,3400
明丰财富中心-前埔南区,思明,2800
岭兜佳园-前埔北区,思明,2800
岭兜小区中区-前埔南区,思明,4000
家家海景-前埔北区,思明,7200
岭兜小区-前埔北区,思明,3700
云顶山庄花园-莲前,思明,3000
湖滨东路-湖滨东路,思明,850
富城花园-禾祥东路,思明,2500
卧龙晓城-莲前西路,思明,2300
卧龙晓城-莲前西路,思明,2300
卧龙晓城-莲前西路,思明,2300
三木清华-莲前西路,思明,5200
云顶山庄花园-莲前,思明,3000
长青路-长青路,思明,2400
阳光花园-长青路,思明,3200
莲坂小区-长青路,思明,2500
莲坂西小区-长青路,思明,3800
宝龙中心-嘉禾路,思明,2500
彩霞公寓-湖滨南路,思明,5500
红星瑞景小区-瑞景,思明,4800
红星瑞景小区-瑞景,思明,4500
福满山庄-瑞景,思明,2500
文兴社-瑞景,思明,4600
文兴社-瑞景,思明,4800
汇盛花园-莲前,思明,5000
翡翠城二期-火车站,思明,2400
建发花园三期-东浦路,思明,3800
建发花园三期-东浦路,思明,3800
东坪花园二期-东浦路,思明,4300
富城花园-禾祥东路,思明,2700
龙山居-莲前西路,思明,4000
龙山山庄-莲前西路,思明,3800
龙山山庄-莲前西路,思明,3600
龙山二期安置房-莲前西路,思明,4300
卧龙晓城二期-莲前,思明,4000
卧龙晓城二期-莲前,思明,4000
毅宏大厦-莲前西路,思明,4000
墩仔家园-莲前,思明,2400
阳光百合-富山,思明,5500
上东美地-软件园,思明,1500
明丰财富中心-前埔南区,思明,2500
明丰财富中心-软件园,思明,2300
明丰财富中心-软件园,思明,3000
鑫阳公寓-禾祥东路,思明,4200
岭兜小区北区-软件园,思明,3800
岭兜佳园小区-软件园,思明,3500
海艺大厦-软件园,思明,2100
岭兜小区-软件园,思明,3400
岭兜小区-软件园,思明,3100
云顶花园-莲前,思明,2600
水岸oY-育秀路,思明,7200
嘉华大厦-长青路,思明,3300
联发滨海名居-会展路,思明,7500
海峡国际社区一期-会展路,思明,9000
海峡国际社区一期-会展路,思明,9200
海峡国际社区二期-会展路,思明,6500
海峡国际社区二期-会展路,思明,4500
枫丹雅苑-金榜路,思明,3200
岭兜一里-软件园,思明,4500
明发园-前埔北区,思明,2200
海峡国际社区一期-槟榔东里,思明,9500
海峡国际社区二期-槟榔东里,思明,4600
云顶花园-莲前,思明,2600
宝华花园思明-湖滨北路,思明,3200
宝华花园思明-湖滨北路,思明,3500
海峡国际社区一期-槟榔东里,思明,9500
海峡国际社区二期-槟榔东里,思明,4600
云顶花园-莲前,思明,2600
宝华花园思明-湖滨北路,思明,3200
宝华花园思明-湖滨北路,思明,3500
富宇大厦-火车站,思明,4700
信和上筑-嘉禾路,思明,4800
怡祥大厦-松柏,思明,5000
永升花园-松柏,思明,6200
永升花园-松柏,思明,6500
汇腾大厦-松柏,思明,6800
嘉华大厦-长青路,思明,3200
禹洲花园一期-莲花五村,思明,2800
福满山庄-瑞景,思明,1700
源昌广场-禾祥东路,思明,6200
金鸡亭花园-金鸡亭,思明,2850
禹洲花园三期-莲花五村,思明,3800
江头长青K小区-松柏,思明,3050
电业花园-富山,思明,3750
莲坂西小区-富山,思明,3000
莲坂西小区-富山,思明,3000
莲坂小区-槟榔东里,思明,2700
莲坂小区-槟榔东里,思明,1800
岭兜二里-软件园,思明,2600
岭兜佳园-软件园,思明,2650
岭兜二里-软件园,思明,3400
岭兜佳园小区-软件园,思明,2800
岭兜一里-软件园,思明,3700
海峡国际社区二期-会展路,思明,4100
侨福城小区三期-莲前东路,思明,4000
红星瑞景小区-瑞景,思明,2800
红星瑞景小区-瑞景,思明,3500
墩仔家园-莲前,思明,2400
东坪花园-火车站,思明,4900
明发园-前埔北区,思明,1850
岭兜小区中区-前埔南区,思明,4500
明发园-前埔北区,思明,2600
卧龙晓城二期-莲前,思明,4000
莲花大厦-吕厝西,思明,1400
潇湘大厦-嘉禾路,思明,3600
天宝大厦-松柏,思明,3800
天宝大厦-松柏,思明,1500
音乐家生活广场-松柏,思明,1700
天宝大厦-松柏,思明,1400
莲岳里-松柏,思明,4800
中关委大厦-嘉禾路,思明,800
中关委大厦-嘉禾路,思明,800
天宝大厦-松柏,思明,4600
音乐家生活广场-松柏,思明,1900
四川大厦-松柏,思明,3300
松柏华庭-松柏,思明,5300
中关委大厦-Null,思明,5500
天宝大厦-松柏,思明,2400
中关委大厦-嘉禾路,思明,5000
音乐家生活广场-松柏,思明,2000
音乐家生活广场-松柏,思明,5500
东方明珠广场-莲岳路,思明,1800
中关委大厦-嘉禾路,思明,800
天宝大厦-松柏,思明,3300
音乐家生活广场-松柏,思明,1250
莲花大厦-吕厝西,思明,1400
中关委大厦-嘉禾路,思明,2800
天宝大厦-松柏,思明,2600
中关委大厦-松柏,思明,2100
锦绣广场-松柏,思明,3200
一代风华-松柏,思明,1900
心悦园-松柏,思明,4800
港龙新城-莲岳路,思明,1500
天宝大厦-松柏,思明,3500
中关委大厦-嘉禾路,思明,1000
中关委大厦-嘉禾路,思明,1000
中关委大厦-嘉禾路,思明,55000
翠湖-长青路,思明,4200
嘉盛豪园-瑞景,思明,4500
嘉盛豪园-瑞景,思明,4700
嘉盛豪园-瑞景,思明,6200
嘉盛豪园-瑞景,思明,5800
嘉盛豪园-瑞景,思明,5800
